timestamp,request_id,policy,selected_provider,actual_provider,ttft_ms,e2e_ms,status,slo_violated,cost_usd,cost_is_estimated,hedge_triggered,hedge_provider,hedge_winner,prompt_tokens,completion_tokens,error_message
1775841887.4622974,5f76a6d0,sort_throughput,__or_sort__:throughput,Google,686.6700149839744,4264.822199009359,success,False,0.0002278188,False,False,,,22,256,
1775841887.4674008,55c4b5e5,smart_hedge,Alibaba,Alibaba,1064.8012161254883,4514.012336730957,success,False,0.00015481323,False,False,Novita,primary,22,256,
1775841887.4687376,547a3599,cheapest_fixed,WandB,WandB,291.98737000115216,5239.263026975095,success,False,2.7522e-05,False,False,,,22,256,
1775841887.462516,a144d3e4,sort_latency,__or_sort__:latency,Friendli,334.71114793792367,5365.135330008343,success,False,0.000207108,False,False,,,22,256,
1775841886.5074582,4cebdd6b,openrouter_auto,,SiliconFlow,3102.429475984536,20518.94949004054,success,True,0.0002130975,False,False,,,25,355,
1775841909.4844632,623f9e69,openrouter_auto,,Parasail,494.6204520529136,1306.645279051736,success,False,2.8116e-05,False,False,,,14,45,
1775841909.4924078,0c18d897,sort_latency,__or_sort__:latency,Friendli,488.5727990185842,1407.5445840135217,success,False,4.2372e-05,False,False,,,14,50,
1775841909.498842,6a852ec4,smart_hedge,Alibaba,Alibaba,714.8065567016602,1704.8182487487793,success,False,4.410549e-05,False,False,Novita,primary,14,71,
1775841909.484646,51de14a5,sort_throughput,__or_sort__:throughput,Google,761.1208599992096,1829.5873800525442,success,False,8.84268e-05,False,False,,,14,98,
1775841909.4951358,126b1c66,lp_mix,Google,Google,720.826722914353,2074.045861954801,success,False,9.19116e-05,False,False,,,14,102,
1775841909.4990695,4db058e2,cheapest_fixed,WandB,WandB,394.0513420384377,2505.6676749372855,success,False,1.1781e-05,False,False,,,14,105,
1775841887.4622772,e94455eb,sort_price,__or_sort__:price,DeepInfra,891.9691009214148,27225.261620944366,success,False,2.689038e-05,False,False,,,22,256,
1775841909.484546,f88d5746,sort_price,__or_sort__:price,DeepInfra,4114.091621013358,6954.082680051215,success,True,5.63706e-06,False,False,,,14,47,
