created_at, provider, input_len, billed_prompt_len, billed_output_len, cached_tokens, duration (ms)
1760769401, harvard_openai, 10, 25, 1, 0, 425
1760769401, harvard_openai, 100, 25, 1, 0, 585
1760769404, harvard_openai, 100, 25, 1, 0, 522
1760773051, harvard_openai, 10, 25, 1, 0, 460
1760773053, harvard_openai, 10, 25, 1, 0, 512
1760773054, harvard_openai, 100, 25, 1, 0, 715
1760773057, harvard_openai, 100, 25, 1, 0, 405
1760776705, harvard_openai, 10, 25, 1, 0, 487
1760776707, harvard_openai, 10, 25, 1, 0, 485
1760776708, harvard_openai, 100, 25, 1, 0, 629
1760776711, harvard_openai, 100, 25, 1, 0, 492
1760780361, harvard_openai, 10, 25, 1, 0, 356
1760780363, harvard_openai, 10, 25, 1, 0, 441
1760780364, harvard_openai, 100, 25, 1, 0, 506
1760780366, harvard_openai, 100, 25, 1, 0, 508
1760784015, harvard_openai, 10, 25, 1, 0, 351
1760784017, harvard_openai, 10, 25, 1, 0, 465
1760784018, harvard_openai, 100, 25, 1, 0, 524
1760784020, harvard_openai, 100, 25, 1, 0, 379
1760787669, harvard_openai, 10, 25, 1, 0, 443
1760787672, harvard_openai, 10, 25, 1, 0, 469
1760787672, harvard_openai, 100, 25, 1, 0, 539
1760787675, harvard_openai, 100, 25, 1, 0, 490
1760791321, harvard_openai, 10, 25, 1, 0, 423
1760791324, harvard_openai, 10, 25, 1, 0, 449
1760791324, harvard_openai, 100, 25, 1, 0, 474
1760791327, harvard_openai, 100, 25, 1, 0, 782
1760794977, harvard_openai, 10, 25, 1, 0, 498
1760794979, harvard_openai, 10, 25, 1, 0, 735
1760794980, harvard_openai, 100, 25, 1, 0, 496
1760794983, harvard_openai, 100, 25, 1, 0, 1039
1760798633, harvard_openai, 10, 25, 1, 0, 499
1760798636, harvard_openai, 10, 25, 1, 0, 466
1760798636, harvard_openai, 100, 24, 1, 0, 499
1760798639, harvard_openai, 100, 24, 1, 0, 452
1760802289, harvard_openai, 10, 25, 1, 0, 891
1760802292, harvard_openai, 10, 25, 1, 0, 661
1760802293, harvard_openai, 100, 25, 1, 0, 499
1760802295, harvard_openai, 100, 25, 1, 0, 438
1760805944, harvard_openai, 10, 25, 1, 0, 353
1760805946, harvard_openai, 10, 25, 1, 0, 601
1760805947, harvard_openai, 100, 25, 1, 0, 468
1760805949, harvard_openai, 100, 25, 1, 0, 459
1760809598, harvard_openai, 10, 25, 1, 0, 546
1760809601, harvard_openai, 10, 25, 1, 0, 451
1760809601, harvard_openai, 100, 25, 1, 0, 487
1760809604, harvard_openai, 100, 25, 1, 0, 884
1760813256, harvard_openai, 10, 25, 1, 0, 702
1760813259, harvard_openai, 10, 25, 1, 0, 597
1760813259, harvard_openai, 100, 25, 1, 0, 579
1760813262, harvard_openai, 100, 25, 1, 0, 1059
1760816911, harvard_openai, 10, 25, 1, 0, 453
1760816914, harvard_openai, 10, 25, 1, 0, 428
1760816914, harvard_openai, 100, 25, 1, 0, 487
1760816916, harvard_openai, 100, 25, 1, 0, 371
1760820566, harvard_openai, 10, 25, 1, 0, 463
1760820568, harvard_openai, 10, 25, 1, 0, 349
1760820569, harvard_openai, 100, 25, 1, 0, 606
1760820571, harvard_openai, 100, 25, 1, 0, 608
1760824221, harvard_openai, 10, 25, 1, 0, 443
1760824224, harvard_openai, 10, 25, 1, 0, 594
1760824225, harvard_openai, 100, 25, 1, 0, 497
1760824227, harvard_openai, 100, 25, 1, 0, 497
1760827877, harvard_openai, 10, 25, 1, 0, 326
1760827879, harvard_openai, 10, 25, 1, 0, 424
1760827879, harvard_openai, 100, 25, 2, 0, 599
1760827882, harvard_openai, 100, 25, 2, 0, 493
1760831532, harvard_openai, 10, 25, 1, 0, 414
1760831534, harvard_openai, 10, 25, 1, 0, 449
1760831535, harvard_openai, 100, 25, 1, 0, 545
1760831537, harvard_openai, 100, 25, 1, 0, 545
1760835188, harvard_openai, 10, 25, 1, 0, 602
1760835191, harvard_openai, 10, 25, 1, 0, 458
1760835191, harvard_openai, 100, 25, 1, 0, 695
1760835194, harvard_openai, 100, 25, 1, 0, 439
1760838840, harvard_openai, 10, 25, 1, 0, 427
1760838842, harvard_openai, 10, 25, 1, 0, 425
1760838843, harvard_openai, 100, 25, 1, 0, 349
1760838845, harvard_openai, 100, 25, 1, 0, 506
1760842493, harvard_openai, 10, 25, 1, 0, 503
1760842495, harvard_openai, 10, 25, 1, 0, 479
1760842496, harvard_openai, 100, 25, 1, 0, 445
1760842498, harvard_openai, 100, 25, 1, 0, 577
1760846144, harvard_openai, 10, 25, 1, 0, 376
1760846147, harvard_openai, 10, 25, 1, 0, 566
1760846147, harvard_openai, 100, 25, 1, 0, 412
1760846150, harvard_openai, 100, 25, 1, 0, 497
1760849798, harvard_openai, 10, 25, 1, 0, 763
1760849801, harvard_openai, 10, 25, 1, 0, 359
1760849801, harvard_openai, 100, 25, 1, 0, 528
1760849804, harvard_openai, 100, 25, 1, 0, 508
1760853451, harvard_openai, 10, 25, 1, 0, 477
1760853453, harvard_openai, 10, 25, 1, 0, 546
1760853454, harvard_openai, 100, 25, 1, 0, 428
1760853456, harvard_openai, 100, 25, 1, 0, 402
1760857103, harvard_openai, 10, 25, 1, 0, 545
1760857105, harvard_openai, 10, 25, 1, 0, 403
1760857106, harvard_openai, 100, 25, 1, 0, 383
1760857108, harvard_openai, 100, 25, 1, 0, 372
1760860754, harvard_openai, 10, 25, 1, 0, 561
1760860756, harvard_openai, 10, 25, 1, 0, 327
1760860757, harvard_openai, 100, 25, 1, 0, 457
1760860759, harvard_openai, 100, 25, 1, 0, 524
1760864406, harvard_openai, 10, 25, 1, 0, 389
1760864408, harvard_openai, 10, 25, 1, 0, 573
1760864409, harvard_openai, 100, 25, 1, 0, 439
1760864411, harvard_openai, 100, 25, 1, 0, 594
1760868061, harvard_openai, 10, 25, 1, 0, 663
1760868064, harvard_openai, 10, 25, 1, 0, 382
1760868064, harvard_openai, 100, 25, 1, 0, 527
1760868067, harvard_openai, 100, 25, 1, 0, 386
1760871718, harvard_openai, 10, 25, 1, 0, 602
1760871721, harvard_openai, 10, 25, 1, 0, 429
1760871721, harvard_openai, 100, 25, 1, 0, 508
1760871724, harvard_openai, 100, 25, 1, 0, 446
1760875370, harvard_openai, 10, 25, 1, 0, 514
1760875373, harvard_openai, 10, 25, 1, 0, 557
1760875373, harvard_openai, 100, 25, 1, 0, 750
1760875376, harvard_openai, 100, 25, 1, 0, 474
1760879023, harvard_openai, 10, 25, 1, 0, 565
1760879026, harvard_openai, 10, 25, 1, 0, 405
1760879026, harvard_openai, 100, 25, 1, 0, 384
1760879029, harvard_openai, 100, 25, 1, 0, 329
1760882677, harvard_openai, 10, 25, 1, 0, 524
