created_at, provider, input_len, billed_prompt_len, billed_output_len, cached_tokens, duration (ms)
1760718743, meta, 1000, 889, 3, 0, 351
1760718744, meta, 3000, 2714, 3, 0, 470
1760718746, meta, 3000, 2714, 3, 0, 420
1760718747, meta, 10000, 9975, 11, 0, 1008
1760718750, meta, 10000, 9975, 11, 0, 1033
1760718751, meta, 30000, 30796, 11, 0, 2311
1760718755, meta, 30000, 30796, 10, 0, 1025
1760718756, meta, 100000, 105902, 28, 0, 9489
1760718768, meta, 100000, 105902, 11, 0, 9097
1760718946, meta, 10, 28, 2, 0, 348
1760718948, meta, 10, 28, 2, 0, 369
1760718948, meta, 100, 28, 2, 0, 402
1760718951, meta, 100, 28, 2, 0, 356
1760718951, meta, 1000, 889, 3, 0, 3030
1760718956, meta, 1000, 889, 3, 0, 396
1760718956, meta, 3000, 2714, 3, 0, 508
1760718959, meta, 3000, 2714, 3, 0, 426
1760718959, meta, 10000, 9975, 11, 0, 989
1760718962, meta, 10000, 9975, 11, 0, 651
1760718963, meta, 30000, 30796, 10, 0, 2290
1760718967, meta, 30000, 30796, 11, 0, 1089
1760718968, meta, 100000, 105902, 11, 0, 9244
1760718980, meta, 100000, 105902, 9, 0, 2351
1760719227, meta, 10, 28, 2, 0, 353
1760719230, meta, 10, 28, 2, 0, 319
1760719230, meta, 100, 28, 2, 0, 358
1760719232, meta, 100, 28, 2, 0, 488
1760719233, meta, 1000, 889, 2, 0, 379
1760719235, meta, 1000, 889, 2, 0, 343
1760719236, meta, 3000, 2714, 3, 0, 528
1760719238, meta, 3000, 2714, 3, 0, 447
1760719239, meta, 10000, 9975, 10, 0, 981
1760719242, meta, 10000, 9975, 11, 0, 959
1760719243, meta, 30000, 30797, 11, 0, 2211
1760719247, meta, 30000, 30797, 69, 0, 3119
1760719250, meta, 100000, 105902, 12, 0, 9292
1760719261, meta, 100000, 105902, 477, 0, 9399
1760719456, meta, 10, 28, 2, 0, 546
1760719458, meta, 10, 28, 2, 0, 358
1760719459, meta, 100, 28, 2, 0, 266
1760719461, meta, 100, 28, 2, 0, 347
1760719461, meta, 1000, 890, 3, 0, 606
1760719464, meta, 1000, 890, 3, 0, 402
1760719464, meta, 3000, 2714, 2, 0, 506
1760719467, meta, 3000, 2714, 3, 0, 427
1760719467, meta, 10000, 9975, 11, 0, 993
1760719470, meta, 10000, 9975, 12, 0, 606
1760719471, meta, 30000, 30797, 116, 0, 3947
1760719477, meta, 30000, 30797, 11, 0, 839
1760719478, meta, 100000, 105902, 9, 0, 9287
1760719489, meta, 100000, 105902, 11, 0, 2254
1760719656, meta, 10, 28, 2, 0, 324
1760719658, meta, 10, 28, 2, 0, 584
1760719658, meta, 100, 28, 2, 0, 329
1760719661, meta, 100, 28, 2, 0, 483
1760719661, meta, 1000, 889, 3, 0, 385
1760719664, meta, 1000, 889, 3, 0, 365
1760719664, meta, 3000, 2714, 3, 0, 484
1760719666, meta, 3000, 2714, 3, 0, 396
1760719667, meta, 10000, 9975, 11, 0, 1012
1760719670, meta, 10000, 9975, 11, 0, 657
1760719671, meta, 30000, 30796, 451, 0, 8041
1760719681, meta, 30000, 30796, 14, 0, 2350
1760719683, meta, 100000, 105903, 411, 0, 15445
